,pH,Sodium,Magnesium,Calcium,Chloride,Potassium,Carbonate,Sulphate,TDS,EC,TH,WQI,label
211,7.64,56.0,30.0,0.0,78.5,9.2,132.63,78.0,0.0,648.8,156.96,40.18,0
212,7.17,59.0,240.0,0.0,75.4,8.8,138.07,74.0,0.0,656.4,191.32,78.92,0
213,8.59,72.3,30.0,0.0,81.1,10.27,137.95,76.0,0.0,634.6,199.89,44.13,0
214,8.71,60.04,20.0,0.0,82.2,8.37,135.75,86.0,0.0,665.7,198.0,40.65,0
215,8.75,85.84,10.0,0.0,76.8,12.8,135.17,84.0,0.0,665.6,204.12,43.36,0
216,8.4,85.84,17.97,0.0,75.7,0.0,135.29,68.0,0.0,663.8,185.68,33.9,0
217,8.27,52.0,62.5,0.0,93.1,7.8,127.94,74.0,0.0,658.8,151.23,45.47,0
218,8.47,58.25,51.0,0.0,90.9,8.07,134.79,90.0,0.0,656.2,165.88,45.03,0
219,8.13,58.25,5.01,0.0,94.8,0.0,125.88,0.0,0.0,663.7,175.91,28.65,0
220,7.88,55.09,32.5,0.0,82.1,7.77,121.97,58.54,0.0,677.2,145.56,38.81,0
221,8.06,46.0,137.26,0.0,66.1,8.2,127.0,51.66,0.0,473.5,144.04,56.43,0
222,7.64,18.0,148.01,0.0,28.82,5.0,64.0,27.26,0.0,279.4,96.36,47.37,0
223,7.25,13.91,104.44,0.0,13.0,4.68,62.72,26.55,0.0,245.1,82.45,37.5,0
224,7.57,17.41,35.07,0.0,33.84,3.81,88.61,72.03,0.0,355.0,86.07,28.02,0
225,7.95,25.52,41.98,0.0,0.0,4.51,94.9,78.3,0.0,440.2,102.89,30.87,0
226,8.0,27.57,35.8,0.0,38.75,4.37,95.51,98.87,0.0,513.3,107.24,31.88,0
227,8.1,39.57,10.0,0.0,64.99,5.79,104.47,81.71,0.0,1615.0,145.09,36.83,0
228,8.31,43.12,22.72,0.0,42.17,6.1,103.67,92.0,0.0,606.2,209.95,35.77,0
229,8.02,45.19,56.88,0.0,44.96,5.89,113.25,115.27,0.0,632.0,163.45,41.31,0
230,7.99,45.19,30.25,0.0,49.02,5.89,122.1,91.38,0.0,657.2,163.45,36.67,0
231,8.27,45.19,61.0,0.0,92.94,5.89,329.06,91.19,0.0,676.0,183.67,53.97,0
232,8.05,54.0,64.2,0.0,68.81,7.2,106.15,63.71,0.0,682.0,187.84,44.53,0
233,8.05,62.0,247.67,0.0,88.37,7.5,115.98,99.48,0.0,704.6,249.33,82.16,0
234,8.16,62.0,43.25,0.0,95.05,7.5,139.89,89.35,0.0,715.0,230.7,45.69,0
235,7.86,41.72,86.73,0.0,96.43,5.49,125.94,92.32,0.0,735.5,174.85,48.75,0
